"filename", "language", "TypeScript", "JSON", "JavaScript", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate/designee.model.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate/patron.model.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/desginee/designee.model.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/index.models.js", "JavaScript", 0, 0, 229, 0, 0, 37, 1, 267
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/delegate.model.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/inventory.model.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/patron.model.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/payee.model.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/invoice/invoice-components.model.js", "JavaScript", 0, 0, 21, 0, 0, 1, 1, 23
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/invoice/invoice.model.js", "JavaScript", 0, 0, 32, 0, 0, 1, 1, 34
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/products/product.model.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/services/service.model.js", "JavaScript", 0, 0, 26, 0, 0, 0, 1, 27
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/template/template.model.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 26
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/transaction/transaction.model.js", "JavaScript", 0, 0, 35, 0, 0, 1, 1, 37
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/accounts.service.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/base.service.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 15
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/clients.service copy.js", "JavaScript", 0, 0, 34, 0, 0, 0, 1, 35
